Unnamed: 0,id,is_robot,nickname,consent,status,pollution_id,num_jugador,partida_id,num_seleccions,bots,acabat,endowment_initial,endowment_current,contributed_public_goods,winnings_public_goods,savings_public_goods,coins_total,tickets,gender,age_range,educational_level,economic_status,working_status,residence,frame_pr1,frame_pr2,frame_pr3,verification_pr1,verification_pr2,verification_pr3,verification_pr4,enquesta_final_pr1,enquesta_final_pr2,enquesta_final_pr3,enquesta_final_pr4,enquesta_final_pr5,enquesta_final_pr6,enquesta_final_pr7,enquesta_final_pr8,enquesta_final_pr9,enquesta_final_pr10,enquesta_final_pr11,date_tutorial,date_register,date_creation,date_end,comment,contributions,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,no2_level,control_wealth
30,1035,0,0033,1,END,11.0,2.0,1006.0,9,1,1,24,2,22,2,2,2.0,1,F,r2,r3,r2,r2,r11,r1,r3,r1,r2,r2,r1,,r4,r4,r2,r5,r2,r4,r1,r1,r3,r3,"grow up more trees
and probably make a taxes for the things which do air polution 
",2018-04-23 10:34:39.259891,2018-04-23 10:38:17.636912,2018-04-23 10:31:37.613235,2018-04-23 10:47:47.115964,,[4 4 2 4 2 2 4 0 0 0],4.0,4.0,2.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,46.23,UNEQUAL-L
31,1036,0,PARTICIPANT 0029,1,END,10.0,5.0,1006.0,10,0,1,48,32,16,32,32,32.0,3,M,r3,r4,r3,r2,r10,r2,r3,r1,r2,r2,r1,,r3,r5,r1,r4,r3,r5,r2,r3,r3,r3,"Inserir mas verde en el espacio publico, mejorar el transporte publico como medida de diminuicion de uso del coche lo que recuce la contaminacion y inserir energia renovable en la rede de eletricidad ",2018-04-23 10:34:22.887402,2018-04-23 10:37:40.816781,2018-04-23 10:32:22.271433,2018-04-23 10:46:59.059127,,[2 0 4 2 0 4 0 0 2 2],2.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0,2.0,2.0,39.05,UNEQUAL-L
32,1037,0,0025,1,END,11.0,3.0,1006.0,10,0,1,48,28,20,28,28,28.0,2,N,r6,r3,r3,r3,r11,r3,r3,r1,r2,r2,r1,,r3,r4,r1,r4,r3,r5,r3,r3,r3,r3,Concenciar nos mes,2018-04-23 10:35:53.475164,2018-04-23 10:38:41.948207,2018-04-23 10:33:36.454563,2018-04-23 10:46:52.516921,,[2 2 2 2 2 2 2 2 2 2],2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,46.23,UNEQUAL-L
33,1038,0,0021,1,END,2.0,1.0,1006.0,10,0,1,24,0,24,0,0,0.0,1,F,r1,r4,r2,r4,r2,r1,r2,r1,r2,r2,r1,,r4,r5,r1,r5,r1,r5,r3,r1,r4,r1,"Més espais verds. (Pla inicial del PlaCerdà, a cada interior d'ill, un parc). I també molts més horts urbans que es lloguin i que cada persona pugui cultivar el seu menjar.",2018-04-23 10:35:23.936195,2018-04-23 10:38:42.957275,2018-04-23 10:34:48.170152,2018-04-23 10:46:34.435888,,[4 4 4 4 0 2 2 4 0 0],4.0,4.0,4.0,4.0,0.0,2.0,2.0,4.0,0.0,0.0,52.38,UNEQUAL-L
34,1039,0,0009,1,END,5.0,4.0,1006.0,10,0,1,48,20,28,20,20,20.0,2,M,r1,r4,r2,r2,r5,r2,r3,r1,r2,r2,r1,,r3,r4,r2,r5,r2,r4,r2,r1,r4,r3,"- Regulación del trafico dentro de la ciudad
- subida de taxaciones en los productos mas contaminantes
- oromoción del transporte público
",2018-04-23 10:35:49.044160,2018-04-23 10:38:14.533508,2018-04-23 10:34:51.565501,2018-04-23 10:47:23.776411,,[4 2 4 2 4 2 4 4 2 0],4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,0.0,41.88,UNEQUAL-L
35,1040,0,0014,1,END,10.0,6.0,1006.0,10,0,1,48,28,20,28,28,28.0,2,M,r2,r4,r2,r2,r10,r2,r2,r1,r2,r2,r1,,r4,r5,r1,r5,r2,r2,r3,r1,r3,r1,Illegalitzar els cotxes no electrics toma ya,2018-04-23 10:37:08.027545,2018-04-23 10:39:10.661468,2018-04-23 10:36:15.252874,2018-04-23 10:46:29.507841,,[4 4 4 4 4 0 0 0 0 0],4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,39.05,UNEQUAL-L
36,1041,0,0051,1,END,11.0,4.0,1007.0,10,0,1,40,16,24,16,16,16.0,2,F,r4,r3,r3,r3,r11,r3,r2,r1,r2,r2,r1,,r4,r5,r3,r4,r5,r4,r3,r3,r1,r1,":(
",2018-04-23 10:50:28.004597,2018-04-23 10:54:03.750298,2018-04-23 10:48:23.046632,2018-04-23 11:03:44.713104,,[2 4 2 4 4 0 4 2 0 2],2.0,4.0,2.0,4.0,4.0,0.0,4.0,2.0,0.0,2.0,46.23,EQUAL
37,1042,0,0047,1,END,11.0,5.0,1007.0,10,0,1,40,16,24,16,16,16.0,2,M,r2,r4,r3,r1,r11,r2,r2,r1,r2,r2,r1,,r3,r4,r3,r3,r2,r2,r1,r2,r4,r1,"Promoting public transportations (cheaper prices for instance, more services..) and car pooling (special lanes dedicated like taxi and bus lanes) to help reduce automobiles number",2018-04-23 10:50:59.316977,2018-04-23 10:54:41.433722,2018-04-23 10:48:46.930688,2018-04-23 11:05:33.992402,,[2 2 4 4 2 4 0 2 4 0],2.0,2.0,4.0,4.0,2.0,4.0,0.0,2.0,4.0,0.0,46.23,EQUAL
38,1043,0,0071,1,END,2.0,1.0,1007.0,10,0,1,40,6,34,6,6,6.0,1,F,r4,r4,r4,r3,r2,r2,r3,r1,r2,r2,r1,,r4,r5,r2,r5,r4,r3,r2,r4,r5,r1,"Pienso que es fundamental que se prohiba el cigarrillo en TODOS los espacios. No solo dentro sino en cualquier sitios oublico. En bogota, colombia solo es permitido fumar en la casa propia.",2018-04-23 10:50:33.798831,2018-04-23 10:52:58.856762,2018-04-23 10:49:02.070161,2018-04-23 11:03:04.117396,,[2 4 4 4 4 4 2 4 4 2],2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,52.38,EQUAL
39,1044,0,0055,1,END,2.0,2.0,1007.0,10,0,1,40,22,18,22,22,22.0,2,M,r4,r4,r3,r3,r2,r1,r3,r1,r2,r2,r1,,r3,r4,r3,r4,r2,r5,r2,r2,r3,r1,"No ahora






",2018-04-23 10:49:51.105238,2018-04-23 10:51:38.957439,2018-04-23 10:49:11.762157,2018-04-23 11:03:27.983077,,[4 2 4 4 0 0 0 4 0 0],4.0,2.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,52.38,EQUAL
